#,Naam,Buy order,Sell offer,Profit/item,Margin,Volume/wk,Score
115,Control Switch,167.0K,266.5K,96.2K,37.3%,10.9K,0.600
116,Raw Soulflow,203,537,326,62.1%,752.0K,0.600
117,Enchantment Growth 6,3.17M,4.29M,1.07M,26.1%,2.4K,0.600
118,Enchantment Piscary 6,563.0K,3.62M,3.02M,84.5%,82,0.600
119,Magmag,23,1.8K,1.8K,98.8%,58.2K,0.599
120,Enchantment Critical 6,1.0K,52.8K,51.2K,98.1%,2.6K,0.599
121,Dragon Horn,5.61M,8.34M,2.62M,32.7%,632,0.599
122,Hemobomb,142.0K,272.5K,127.1K,47.9%,4.7K,0.598
123,Mangrove Gem,51.1K,356.8K,301.2K,85.7%,632,0.598
124,Golden Plate,1.20M,1.53M,305.4K,21.2%,10.7K,0.598
125,Shard Strider Surfer,2.8K,9.0K,6.1K,69.3%,36.0K,0.598
126,Calcified Heart,14.0K,67.7K,52.9K,79.3%,3.7K,0.598
127,Enchantment Ultimate Fatal Tempo 2,600.0K,220.00M,216.65M,99.7%,0,0.598
128,Fine Flour,4.5K,7.1K,2.5K,36.7%,294.0K,0.597
129,Enchantment Reflection 1,64.1K,530.0K,459.3K,87.9%,385,0.597
130,Shard Magma Slug,2.3K,7.8K,5.4K,70.4%,37.9K,0.597
131,Enchantment Pesterminator 2,7.6K,500.0K,486.2K,98.5%,289,0.597
132,Ice Hunk,379,1.0K,635,63.1%,343.2K,0.597
133,Goblin Egg Green,5.5K,10.0K,4.4K,45.2%,112.4K,0.597
134,Flowering Bouquet,10.2K,41.0K,30.3K,75.1%,6.6K,0.597
135,Soggybud,55.9K,101.9K,44.7K,45.1%,13.0K,0.597
136,Enchantment Paleontologist 1,128.6K,282.8K,150.6K,54.5%,2.8K,0.597
137,Shard Hideonbox,1.30M,2.35M,1.02M,44.6%,719,0.597
138,Magic Jellybean,17.7K,69.0K,50.4K,74.3%,4.1K,0.596
139,Glacite Shard,6.3K,54.4K,47.4K,88.4%,3.0K,0.596
140,Lava Shell,175.7K,361.2K,181.1K,51.4%,2.7K,0.596
141,Beating Heart,1.3K,11.9K,10.5K,89.1%,12.2K,0.596
142,Spirit Decoy,758.5K,1.76M,978.4K,56.9%,450,0.596
143,Half Eaten Mushroom,1.4K,2.4K,1.0K,44.1%,441.0K,0.596
144,Enchanted Rabbit,2.7K,3.6K,769,22.9%,2.20M,0.596
145,Enchantment Green Thumb 2,1.59M,6.00M,4.34M,73.5%,65,0.596
146,Shard Toad,2.9K,113.5K,109.1K,97.4%,1.1K,0.595
147,Enchantment Syphon 4,209.0K,481.9K,266.8K,56.6%,1.5K,0.595
148,Enchantment Venomous 6,100.2K,301.7K,197.8K,66.8%,1.4K,0.595
149,Enchanted Clay Ball,438,692,245,36.6%,2.35M,0.595
150,Magma Chunk,341,1.1K,754,69.2%,223.4K,0.595
151,Wise Fragment,30.9K,46.1K,14.6K,33.0%,65.0K,0.595
152,Enchantment Ultimate Swarm 1,456.8K,661.2K,196.2K,30.9%,6.6K,0.595
153,Dungeon Chest Key,389.4K,524.9K,128.9K,25.8%,14.1K,0.595
154,Twilight Arrow Poison,1.3K,2.0K,704,36.6%,867.3K,0.595
155,Kada Lead,10.4K,16.0K,5.4K,34.8%,145.1K,0.595
156,Enchanted Acacia Log,1.1K,1.7K,555,33.8%,1.26M,0.595
157,Enchantment Turbo Warts 1,54,20.0K,19.7K,99.7%,5.0K,0.595
158,Log:3,2,20,17,86.5%,4.64M,0.595
159,Ashwreath,1.2K,2.1K,897,43.5%,476.0K,0.594
160,Dark Orb,70.8K,148.5K,75.8K,52.3%,5.3K,0.594
161,Enchantment Smite 6,5.5K,58.7K,52.5K,90.7%,2.4K,0.594
162,Compact Ooze,27.6K,63.0K,34.6K,56.2%,9.3K,0.594
163,Enchantment Ultimate One For All 1,1.10M,1.89M,770.3K,41.9%,940,0.594
164,Enchanted Paper,646,2.0K,1.3K,67.0%,136.3K,0.594
165,Ink Sack,1.3K,2.6K,1.3K,51.3%,232.4K,0.594
166,Necromancer Brooch,303,12.0K,11.5K,97.5%,8.2K,0.594
167,Shard Sylvan,98.0K,195.9K,95.5K,50.0%,4.4K,0.593
168,Exportable Carrots,10.0K,13.8K,3.6K,27.5%,315.7K,0.593
169,Enchantment Ultimate Wisdom 5,2.11M,3.16M,1.01M,33.1%,1.1K,0.593
170,Shard Ent,1.9K,7.8K,5.8K,75.1%,26.0K,0.593
171,Enchanted Compost,2.54M,3.14M,564.2K,19.2%,5.9K,0.593
172,Cindershade,330.3K,500.0K,163.5K,33.9%,5.8K,0.593
173,Reaper Pepper,10.89M,22.52M,11.35M,51.6%,48,0.593
174,Turtlellini,63.6K,109.1K,44.1K,41.6%,12.9K,0.593
175,Enchantment Ultimate Inferno 4,1.20M,175.00M,171.61M,99.3%,0,0.593
176,Budget Hopper,2.5K,40.0K,36.9K,93.6%,2.9K,0.592
177,Enchantment Turbo Mushrooms 1,2,12.7K,12.5K,100.0%,6.8K,0.592
178,Pumpkin,5,17,12,70.9%,8.45M,0.592
179,Enchantment Turbo Moonflower 1,236.7K,414.6K,172.7K,42.9%,3.3K,0.592
180,Enchanted Mutton,858,1.2K,317,27.9%,2.79M,0.592
181,Shiny Prism,20.0K,360.2K,335.7K,94.4%,356,0.592
182,Shard Invisibug,22.7K,27.2K,4.2K,16.7%,723.1K,0.592
183,Emerald,0,8,7,92.0%,7.30M,0.592
184,Shard Wyvern,173.6K,516.0K,336.0K,66.4%,720,0.592
185,Hyper Catalyst,125.4K,169.8K,42.3K,26.1%,32.8K,0.591
186,Agarimoo Tongue,8.0K,12.0K,3.8K,33.0%,188.7K,0.591
187,Enchantment Strong Mana 7,1.38M,16.04M,14.46M,91.4%,11,0.591
188,Holy Fragment,8.6K,11.9K,3.1K,27.5%,327.4K,0.591
189,Shard Taurus,31.0K,57.7K,26.0K,46.3%,15.6K,0.591
190,Wither Soul,447,2.1K,1.6K,78.6%,69.7K,0.591
191,Log 2:1,1,30,28,95.0%,2.02M,0.591
192,Metaphysical Serum,72.4K,180.7K,106.0K,59.9%,2.4K,0.590
193,Enchantment Looting 4,13.7K,74.0K,59.4K,81.5%,2.2K,0.590
194,Ascension Rope,16,366,346,95.6%,189.7K,0.590
195,Can Of Worms,12.6K,19.2K,6.3K,34.3%,103.6K,0.590
196,Supreme Chocolate Bar,26,192,164,86.4%,465.1K,0.590
197,Enchantment Life Steal 4,1.2K,100.0K,97.5K,98.8%,935,0.590
198,Enchanted Dandelion,26.7K,33.0K,5.9K,19.1%,366.8K,0.590
199,Enchantment Ultimate Inferno 5,10.00M,180.00M,167.75M,94.4%,0,0.590
200,Dark Bait,334,2.0K,1.7K,83.7%,55.8K,0.590
201,Enchantment Turbo Pumpkin 1,5,20.6K,20.3K,100.0%,3.8K,0.590
202,Braided Griffin Feather,30.68M,43.00M,11.79M,28.7%,134,0.590
203,Lonelily,3.5K,7.1K,3.5K,50.6%,78.9K,0.590
204,Quartz,1,22,20,93.7%,2.63M,0.589
205,Pocket Iceberg,23.5K,5.91M,5.81M,99.6%,20,0.589
206,Vial Of Venom,1.26M,2.23M,946.8K,43.6%,585,0.589
207,Shard Toucan,280.0K,500.0K,213.7K,44.0%,2.3K,0.589
208,Packed Ice,2,19,17,89.9%,3.26M,0.589
209,Enchanted Mycelium,1.3K,1.6K,334,21.8%,3.85M,0.589
210,Obsidian Tablet,905.5K,2.20M,1.27M,58.9%,237,0.589
211,Pork,47,133,84,64.1%,1.49M,0.589
212,Enchantment Mana Vampire 9,1.05M,70.00M,68.07M,98.5%,2,0.589
213,Gill Membrane,8,174,164,95.1%,355.3K,0.588
214,Super Compactor 3000,107.5K,146.5K,37.1K,26.6%,31.3K,0.588
215,Enchantment Sharpness 6,356.9K,617.0K,252.4K,42.2%,2.0K,0.588
216,Dungeon Decoy,420,1.5K,1.0K,71.2%,115.7K,0.588
217,Enchantment Fortune 4,29.9K,151.3K,119.4K,80.2%,1.1K,0.588
218,Prime Lushlilac Bonbon,23.2K,153.9K,128.8K,84.9%,887,0.588
219,Superboom Tnt,39,114,73,65.3%,1.56M,0.588
220,Suspicious Vial,3.7K,107.8K,102.7K,96.5%,837,0.588
221,Shard Leviathan,188.7K,323.1K,130.4K,41.6%,3.7K,0.587
222,Enchanted Redstone,763,965,189,20.9%,6.55M,0.587
223,Dwarven Os Block Bran,351.5K,644.2K,284.6K,45.4%,1.5K,0.587
224,Gold Bottle Cap,7.00M,13.75M,6.58M,49.1%,68,0.587
225,Scorched Crab Stick,126.0K,230.5K,101.6K,45.3%,3.8K,0.587
226,Enchanted Raw Fish,946,1.2K,253,22.1%,4.36M,0.587
227,Gold Ingot,0,5,5,91.2%,8.99M,0.587
228,Enchantment Ultimate First Impression 1,1,8.7K,8.6K,100.0%,7.4K,0.587
229,Blaze Ashes,5,97,91,94.8%,558.1K,0.586
230,Dung,9.0K,11.9K,2.8K,24.4%,377.4K,0.586
231,Vitamin Death,1.0K,22.2K,20.9K,95.5%,3.5K,0.586
232,Enchantment Syphon 5,25.73M,39.20M,12.98M,34.4%,72,0.586
233,Enchanted Red Sand,1.0K,1.4K,381,27.6%,1.82M,0.586
234,Enchantment Ultimate Swarm 2,89.0K,1.74M,1.63M,94.9%,61,0.586
235,Large Pig Ear,1.01M,2.22M,1.18M,54.5%,256,0.586
236,Aote Stone,3.89M,6.14M,2.17M,36.7%,327,0.586
237,Expired Pumpkin,3.9K,13.9K,9.8K,71.7%,12.5K,0.586
238,Revenant Viscera,54.4K,70.0K,14.7K,22.3%,93.5K,0.586
239,Full Jaw Fanging Kit,750.0K,7.00M,6.16M,89.3%,20,0.586
240,Shard Mochibear,49.8K,70.0K,19.3K,28.9%,42.7K,0.586
241,Shard Scarf,328.2K,455.1K,121.3K,27.9%,8.3K,0.585
242,Orb Of Energy,9.3K,14.1K,4.6K,33.9%,115.6K,0.585
243,Enchantment Ultimate The One 4,39.83M,61.00M,20.40M,34.7%,45,0.585
244,Frozen Bait,4.2K,10.3K,6.0K,59.1%,29.0K,0.585
245,Transmission Tuner,37.5K,75.0K,36.5K,49.9%,7.5K,0.585
246,Shard Draconic,189.0K,238.2K,46.2K,20.6%,36.7K,0.585
247,Slime Ball,39,54,14,27.7%,36.33M,0.585
248,Warty,23.4K,31.6K,7.8K,25.9%,119.0K,0.585
249,Dustgrain,1.2K,3.0K,1.7K,58.7%,91.4K,0.585
250,Nether Stalk Distillate,4.1K,9.5K,5.3K,56.6%,34.4K,0.585
251,Shard Quartzfang,78.9K,150.0K,69.2K,47.4%,4.5K,0.585
252,Rusty Coin,25.9K,33.1K,6.8K,21.9%,188.4K,0.584
253,Enchantment Respite 5,223.6K,1.05M,812.3K,78.7%,161,0.584
254,Clay Ball,1,14,13,91.1%,3.37M,0.584
255,Booster Cookie,10.90M,11.54M,498.5K,5.6%,57.0K,0.584
256,Enchanted Red Sand Cube,138.3K,210.0K,69.1K,34.1%,8.7K,0.584
257,Shard Cavernshade,32.8K,67.0K,33.4K,51.1%,7.5K,0.584
258,Enchantment Giant Killer 7,70.00M,95.15M,23.96M,26.4%,64,0.584
259,Enchantment Ultimate Legion 4,8.00M,21.00M,12.74M,61.9%,20,0.584
260,Enchanted Gunpowder,487,868,370,43.9%,657.3K,0.584
261,Fried Feather,21.8K,28.7K,6.5K,24.0%,156.7K,0.584
262,Mutton,14,44,30,68.7%,2.66M,0.584
263,Sand,4,16,11,72.0%,5.97M,0.583
264,Moogma Pelt,0,52,51,98.7%,767.4K,0.583
265,Shard Glacite Walker,8.8K,10.8K,1.8K,17.9%,942.0K,0.583
266,Enchantment Pesterminator 3,21.1K,420.0K,393.6K,95.0%,205,0.583
267,Shard Spike,36.3K,61.9K,24.7K,41.2%,14.8K,0.583
268,Plasma,230.0K,275.3K,41.8K,16.4%,59.1K,0.583
269,Enchanted Gold,475,628,144,24.3%,5.12M,0.583
270,Enchantment Ultimate Last Stand 4,52.6K,1.00M,937.1K,94.8%,90,0.583
271,Giant Fragment Laser,1.10M,1.28M,169.8K,14.5%,20.6K,0.583
272,Shard Cinder Bat,64.1K,96.5K,31.2K,33.6%,17.4K,0.582
273,Yoggie,34,400,361,91.5%,140.6K,0.582
274,Leather,86,140,53,38.9%,4.81M,0.582
275,Shard Komodo Dragon,519.5K,831.3K,301.4K,37.5%,1.7K,0.582
276,Enderman Cortex Rewriter,48.7K,188.0K,137.0K,74.1%,866,0.582
277,Melon,0,2,2,75.7%,24.06M,0.582
278,Enchantment Turbo Wheat 1,147.2K,238.4K,88.2K,38.3%,4.9K,0.582
279,Spirit Leap,100,329,224,69.5%,372.2K,0.582
280,Enchantment Fire Aspect 3,0,15.1K,14.9K,100.0%,3.6K,0.581
281,Jelly,23.8K,28.8K,4.6K,17.3%,382.3K,0.581
282,Enchanted Glistering Melon,4.2K,28.5K,24.0K,85.4%,3.1K,0.581
283,Plant Matter,75.9K,86.7K,9.8K,12.5%,366.5K,0.581
284,Cactus,1,7,6,85.0%,6.30M,0.581
285,Ender Stone,1,16,14,93.8%,2.43M,0.581
286,Enchanted Cobblestone,204,299,91,31.7%,4.20M,0.581
287,Blazen Sphere,78.1K,241.2K,160.1K,67.6%,856,0.581
288,Enchantment Ultimate Inferno 3,1.00M,100.00M,97.75M,99.0%,0,0.581
289,Enchantment Pesterminator 1,18.3K,29.1K,10.4K,37.2%,36.3K,0.581
290,Enchantment Turbo Sunflower 1,336.0K,491.6K,149.4K,31.7%,4.2K,0.581
291,Shard Chill,8.3K,10.6K,2.2K,21.6%,470.4K,0.581
292,Shard Sun Fish,403.9K,680.0K,267.6K,40.6%,1.5K,0.581
293,Shard Shinyfish,178.6K,226.8K,45.3K,21.2%,28.6K,0.580
294,Essence Undead,607,689,73,11.9%,36.36M,0.580
295,Shard Drowned,8.0K,17.9K,9.7K,55.4%,16.7K,0.580
296,Enchantment Pesterminator 4,50.5K,1000.0K,937.0K,94.9%,79,0.580
297,Enchantment Ultimate Crop Fever 4,814.6K,19.00M,17.95M,95.7%,5,0.580
298,Shard Azure,1.5K,2.6K,1.1K,41.9%,231.9K,0.580
299,Enchantment Turbo Carrot 1,1.0K,13.8K,12.6K,92.7%,4.5K,0.580
300,Enchantment Ultimate Wise 2,134.0K,234.2K,97.3K,42.8%,3.3K,0.580
301,Deep Root,4.0K,7.4K,3.3K,46.3%,63.8K,0.580
302,Enchantment Sugar Rush 1,1,481.2K,475.2K,100.0%,131,0.580
303,Diamond Atom,5.0K,115.0K,108.6K,95.7%,565,0.580
304,Enchanted Leather,795,1.1K,302,28.5%,1.60M,0.580
305,Enchantment Blessing 6,27.50M,90.00M,61.37M,69.4%,3,0.579
306,Chain End Times,2.30M,3.74M,1.39M,38.5%,337,0.579
307,Enchantment Luck Of The Sea 6,3,81.0K,80.0K,100.0%,677,0.579
308,Lump Of Magma,0,59,58,99.7%,560.0K,0.579
309,Sulphur,8,34,25,75.1%,2.17M,0.579
310,Spiked Bait,5,95,89,94.7%,417.1K,0.579
311,Red Mushroom,6,21,15,71.2%,3.83M,0.579
312,Revenant Catalyst,6.4K,45.6K,38.7K,86.0%,1.8K,0.579
313,Shard Joydive,52.0K,70.3K,17.4K,26.0%,43.1K,0.579
314,Hot Stuff,1.65M,7.44M,5.70M,77.9%,21,0.579
315,Precursor Gear,362.4K,446.7K,78.7K,18.9%,20.4K,0.579
316,Enchantment Turbo Mushrooms 5,29.5K,589.0K,552.1K,95.0%,122,0.579
317,Enchanted Egg,3.1K,4.2K,1.0K,25.3%,640.9K,0.579
318,Enchantment Turbo Melon 1,28.2K,61.2K,32.2K,53.9%,5.4K,0.579
319,Refined Mineral,100.0K,130.8K,29.1K,23.5%,32.2K,0.578
320,Enchantment Triple Strike 5,15.42M,23.93M,8.21M,35.6%,73,0.578
321,Enchantment Ferocious Mana 6,350.0K,2.00M,1.62M,82.5%,58,0.578
322,Enchanted Quartz,694,1.1K,392,36.9%,689.8K,0.578
323,Bezos,1.5K,4.2K,2.7K,65.1%,36.0K,0.578
324,Enchanted Rotten Flesh,389,524,128,25.7%,4.07M,0.578
325,Lush Berberis,7,88,80,92.1%,457.3K,0.578
326,Shard Bezal,10.1K,15.3K,4.9K,33.6%,78.4K,0.578
327,Enchanted Redstone Lamp,100.0K,195.0K,92.6K,48.7%,2.4K,0.578
328,Shard Sea Emperor,142.3K,214.6K,69.6K,33.7%,6.7K,0.578
329,Enchantment Caster 6,6.0K,101.4K,94.1K,94.0%,615,0.578
330,Shard Cretan Bull,76.4K,150.0K,71.7K,49.1%,3.0K,0.578
331,Shard Lapis Skeleton,43.9K,69.6K,24.8K,36.9%,14.1K,0.577
332,Volta,2.5K,4.7K,2.1K,46.4%,87.0K,0.577
333,Enchanted Ice,230,385,150,40.2%,1.35M,0.577
334,Shard Seer,7.7K,15.6K,7.7K,50.6%,21.7K,0.577
335,Enchanted Iron,697,901,193,22.7%,3.43M,0.577
336,Summoning Eye,1.24M,1.36M,106.3K,9.0%,64.3K,0.577
337,Werewolf Skin,1.3K,3.3K,2.0K,61.6%,51.2K,0.577
338,All In Aloe,171.4K,292.6K,117.5K,41.4%,2.6K,0.577
339,Enchantment Lapidary 1,173.7K,264.4K,87.4K,34.3%,4.9K,0.577
340,Dragon Claw,612.0K,862.1K,239.4K,29.0%,2.7K,0.577
341,Gazing Pearl,106,1.2K,1.1K,91.3%,38.3K,0.576
342,Shard Thyst,21.8K,35.0K,12.7K,37.6%,24.4K,0.576
343,Enchantment Feather Falling 10,33.9K,300.0K,262.4K,88.7%,252,0.576
344,Goblin Egg,5.0K,6.9K,1.8K,26.8%,307.1K,0.576
345,Cup Of Blood,102,908,795,88.8%,54.9K,0.576
346,Arachne Keeper Fragment,539,1.5K,963,64.5%,86.6K,0.576
347,Enchantment Bane Of Arthropods 6,1,15.0K,14.8K,100.0%,2.8K,0.576
348,Shard Apex Dragon,288.3K,343.9K,51.3K,16.2%,36.3K,0.576
349,Shard Flaming Spider,10.0K,15.4K,5.3K,35.3%,60.9K,0.576
350,Godseed,300.0K,1000.0K,687.5K,70.0%,161,0.576
351,Perfect Opal Gem,9.85M,13.50M,3.49M,27.1%,248,0.575
352,Enchantment Ultimate Wisdom 1,121.9K,163.0K,39.1K,25.2%,18.5K,0.575
353,Book Of Stats,2.76M,8.00M,5.14M,65.5%,28,0.575
354,Y,60.0K,113.2K,51.8K,47.0%,4.0K,0.575
355,Bouncy Beach Ball,135.9K,250.0K,111.0K,45.6%,2.0K,0.575
356,Enchantment Forest Pledge 4,6.7K,1.23M,1.21M,99.5%,45,0.575
357,Enchantment Turbo Wheat 3,30.0K,1.35M,1.31M,97.8%,43,0.575
358,Diamond Spreading,2.7K,8.9K,6.1K,69.4%,12.7K,0.575
359,Enchantment Turbo Rose 1,67.0K,126.3K,57.8K,47.0%,3.5K,0.575
360,Sorrow,180.4K,213.2K,30.1K,15.4%,62.5K,0.575
361,Griffin Upgrade Stone Mythic,71.80M,178.00M,103.97M,59.7%,2,0.574
362,Shard Golden Ghoul,9.0K,14.3K,5.1K,37.1%,53.2K,0.574
