#,Naam,Buy order,Sell offer,Profit/item,Margin,Volume/wk,Score
1,Enchantment Execute 6,25.14M,270.00M,241.49M,90.7%,80,0.693
2,Busted Belt Buckle,63.6K,475.0K,405.5K,86.6%,25.1K,0.687
3,Shard Cropeetle,6.0K,476.3K,464.3K,98.7%,5.3K,0.661
4,Fish Bait,140,667,518,78.9%,4.50M,0.660
5,Winter Fragment,1.00M,5.46M,4.39M,81.7%,747,0.655
6,Corrupt Soil,234.4K,772.8K,528.8K,69.7%,6.4K,0.652
7,Enchanted Sea Lumies,47.0K,100.6K,52.4K,53.3%,92.7K,0.652
8,Shard Bambuleaf,55.7K,130.0K,72.6K,57.1%,34.5K,0.639
9,Shard Kraken,187.8K,285.8K,94.4K,34.3%,73.9K,0.639
10,Superior Fragment,140.8K,239.0K,95.2K,41.1%,47.7K,0.637
11,Gloomgourd,1.2K,3.9K,2.7K,69.0%,447.5K,0.637
12,Plantboy Advance,3.41M,11.73M,8.17M,70.9%,230,0.635
13,Glasscorn,1.50M,6.35M,4.77M,76.4%,308,0.634
14,Enchantment Luck 6,20.0K,452.0K,426.3K,95.6%,1.8K,0.634
15,Tessellated Ender Pearl,718.1K,4.60M,3.82M,84.4%,302,0.634
16,Glowy Chum Bait,574,12.0K,11.3K,95.2%,50.1K,0.633
17,Enchantment Harvesting 6,2.80M,3.70M,856.7K,24.4%,14.1K,0.632
18,Shard Hideongift,4.5K,500.0K,489.3K,99.1%,1.3K,0.631
19,Enchantment Strong Mana 4,838.7K,5.00M,4.10M,83.2%,253,0.631
20,Shard Voracious Spider,3.6K,20.0K,16.1K,81.9%,43.9K,0.630
21,Shard Lava Flame,19.6K,63.6K,43.2K,69.2%,24.5K,0.630
22,Titanium Ore,93,727,625,87.2%,772.6K,0.630
23,Pet Cake,15.0K,167.9K,150.8K,91.1%,4.3K,0.629
24,Enchanted Lush Berberis,1.1K,3.3K,2.2K,66.2%,424.9K,0.629
25,Strong Fragment,33.0K,62.2K,28.4K,46.9%,76.6K,0.629
26,Shard Mudworm,56.5K,116.0K,58.1K,51.3%,30.7K,0.627
27,Golden Bounty,22.05M,60.00M,37.20M,63.2%,49,0.627
28,Fine Opal Gem,3.8K,29.1K,25.0K,87.1%,21.5K,0.626
29,Titanic Exp Bottle,440.6K,592.0K,144.0K,25.6%,51.1K,0.626
30,Enchantment Green Thumb 4,3.89M,22.22M,18.05M,82.5%,52,0.626
31,Shard Abyssal Lantern,17.8K,107.8K,88.6K,83.5%,6.9K,0.625
32,Nurse Shark Tooth,9.6K,40.0K,29.9K,76.1%,22.3K,0.624
33,Choconut,1.3K,4.7K,3.4K,73.4%,179.2K,0.624
34,Null Sphere,503,952,437,47.1%,2.90M,0.624
35,Thunderling,900.0K,2.58M,1.64M,65.1%,704,0.623
36,Ink Sack:3,1,13,12,91.7%,20.40M,0.623
37,Shard Newt,105.5K,225.2K,116.9K,53.2%,12.0K,0.622
38,Wither Blood,1.29M,2.20M,880.1K,41.3%,2.9K,0.621
39,Full Chum Bucket,590,12.5K,11.8K,95.3%,27.9K,0.620
40,Shard Lord Jawbus,101.2K,362.2K,256.5K,72.1%,2.8K,0.620
41,Enchanted Sand,884,1.6K,743,46.4%,1.57M,0.620
42,Witherbloom,1.8K,5.7K,3.8K,68.5%,149.5K,0.620
43,Shard Soul Of The Alpha,8.9K,41.2K,31.8K,78.5%,15.7K,0.619
44,Pumpkin Guts,300.0K,522.8K,216.3K,42.6%,9.1K,0.619
45,Inferno Vertex,265.0K,557.2K,285.2K,52.4%,4.6K,0.619
46,Nether Stalk,0,13,12,96.4%,14.65M,0.619
47,Carrot Item,0,9,8,90.7%,23.36M,0.619
48,Melon Block,28,350,317,91.9%,792.4K,0.618
49,Shadevine,1.4K,9.2K,7.7K,84.5%,46.8K,0.618
50,Ender Monocle,4.6K,40.3K,35.1K,88.5%,10.2K,0.617
51,Shard Salmon,2.6K,5.2K,2.5K,49.7%,377.2K,0.617
52,Scorched Books,12.6K,90.6K,76.8K,86.1%,5.1K,0.617
53,Enchanted Magma Cream,843,1.7K,818,49.9%,1.03M,0.616
54,Enchanted Jungle Log,734,1.3K,546,43.4%,1.95M,0.616
55,Rabbit,12,82,68,84.6%,3.31M,0.615
56,Pet Item Tier Boost Drop,74.00M,159.00M,83.01M,53.5%,19,0.615
57,Rekindled Ember Fragment,54.9K,131.2K,74.6K,58.2%,10.8K,0.615
58,Essence Spider,1.1K,1.6K,434,28.6%,5.44M,0.615
59,Double Plant,0,8,7,90.6%,21.08M,0.614
60,Enchantment Transylvanian 5,134.5K,749.5K,605.6K,82.1%,722,0.614
61,Scourroot,1.2K,6.9K,5.7K,82.7%,54.5K,0.614
62,Enchantment Thunderlord 7,2.73M,5.27M,2.47M,48.1%,578,0.613
63,Shard Birries,2.7K,6.9K,4.1K,60.9%,134.8K,0.613
64,Stock Of Stonks,2.07M,2.42M,322.5K,14.6%,43.9K,0.613
65,Troubled Bubble,1.00M,6.67M,5.58M,85.0%,82,0.613
66,Coal,5,15,9,66.5%,30.22M,0.613
67,Digested Mushrooms,8.3K,16.1K,7.6K,48.6%,117.3K,0.613
68,Enchantment Lethality 6,36,62.7K,61.9K,99.9%,3.7K,0.612
69,Enchantment Scavenger 5,38.0K,365.1K,322.5K,89.6%,967,0.611
70,Golden Powder,12.0K,100.0K,86.7K,88.0%,3.4K,0.611
71,Shard Zombie Soldier,5.8K,11.6K,5.6K,49.9%,137.2K,0.611
72,Whale Bait,3.2K,4.4K,1.2K,28.1%,1.89M,0.611
73,Potato Item,0,7,6,93.2%,18.88M,0.610
74,Shard Lumisquid,57.5K,123.6K,64.5K,53.5%,11.8K,0.610
75,Wild Rose,0,9,9,96.9%,12.70M,0.610
76,Burrowing Spores,254.9K,496.0K,234.9K,48.6%,4.1K,0.609
77,Seeds,0,3,2,83.4%,48.27M,0.609
78,Blue Shark Tooth,16.0K,47.9K,31.3K,66.5%,13.9K,0.609
79,Furball,2,30.0K,29.6K,100.0%,6.2K,0.608
80,Enchantment Strong Mana 5,2.14M,2.96M,789.6K,27.9%,4.0K,0.608
81,Enchantment Ferocious Mana 5,280.0K,537.6K,250.8K,47.9%,3.8K,0.608
82,Mana Disintegrator,1.7K,25.2K,23.2K,93.3%,8.8K,0.608
83,Noctilume,1.21M,2.30M,1.06M,47.6%,990,0.607
84,Tender Wood,175,447,265,60.8%,1.33M,0.607
85,Worm Bait,780,4.6K,3.8K,83.2%,58.1K,0.607
86,Enchanted Spruce Log,306,799,482,61.6%,712.8K,0.607
87,Horseman Candle,368.6K,726.5K,348.8K,49.3%,2.5K,0.606
88,Shard Coralot,68.0K,91.1K,21.9K,25.3%,124.3K,0.606
89,Shard Bruiser,7.8K,14.2K,6.3K,45.2%,120.8K,0.606
90,Shard Kada Knight,4.3K,15.0K,10.4K,70.9%,29.3K,0.605
91,Wet Book,150.0K,328.4K,174.3K,54.3%,3.7K,0.605
92,Raw Chicken,15,75,59,79.6%,2.79M,0.605
93,Weak Wolf Catalyst,90.0K,483.2K,387.1K,81.4%,733,0.604
94,Mycel,2,29,27,92.1%,4.03M,0.604
95,Shard Yog,20.0K,50.2K,29.6K,60.2%,14.4K,0.604
96,Reheated Gummy Polar Bear,176.6K,550.0K,366.5K,67.9%,1.1K,0.603
97,Ghast Tear,50,254,200,80.3%,795.5K,0.603
98,Sugar Cane,1,7,6,83.0%,18.57M,0.603
99,Hot Bait,51,199,146,74.4%,1.23M,0.603
100,Spooky Bait,0,532,525,99.9%,204.5K,0.603
101,Shard Endstone Protector,345.8K,536.0K,183.5K,35.5%,7.3K,0.602
102,Flawless Sapphire Gem,2.30M,3.00M,659.4K,23.2%,5.3K,0.602
103,Enchanted Raw Chicken,539,899,349,40.0%,1.89M,0.602
104,Creambloom,213.9K,372.0K,153.5K,42.5%,5.8K,0.602
105,Medium Enchanted Chest,1.3K,16.8K,15.3K,92.2%,10.1K,0.602
106,Honey Jar,11.3K,15.9K,4.5K,29.3%,329.3K,0.601
107,Duskbloom,542.7K,850.0K,296.7K,36.2%,4.3K,0.601
108,Super Magic Mushroom Soup,6.5K,19.9K,13.2K,67.5%,21.3K,0.601
109,Enchantment Ultimate Chimera 3,50.00M,199.00M,146.51M,74.9%,3,0.601
110,Shard King Minos,427.7K,1.77M,1.32M,75.9%,230,0.601
111,Flawless Topaz Gem,1.60M,2.40M,773.3K,33.5%,2.0K,0.601
112,Chyme,400.0K,4.00M,3.55M,90.0%,64,0.601
113,Magma Cream Distillate,3.8K,76.1K,71.3K,95.0%,2.2K,0.600
114,Jerry Box Purple,88.9K,265.3K,173.1K,66.5%,2.0K,0.600
